store,date,year,month,week,is_q4,weekly_sales,holiday_flag,temperature,fuel_price,cpi,unemployment,lag1,lag2,lag4,lag8,ma4,ma8,store_mean_to_prev,store_sd_to_prev,sin1,cos1,sin2,cos2,is_holiday_num,inter_holiday_lag1,inter_temp_holiday,inter_cpi_unemp
1,2010-04-02,2010,4,13,FALSE,1594968.28,Non-Holiday,62.27,2.719,210.8204499,7.808,1404429.92,1472515.79,1554806.68,1643690.9,1467823.495,1522329.76,1522329.76,96205.53301664666,1,-1.6081226496766366e-16,-3.216245299353273e-16,-1,0,0,0,1646.0860728192
1,2010-04-09,2010,4,14,FALSE,1545418.53,Non-Holiday,65.86,2.77,210.6228574,7.808,1594968.28,1404429.92,1439541.59,1641957.44,1477863.895,1516239.4325,1530400.7066666665,93532.00856216993,0.992708874098054,-0.1205366802553229,-0.23931566428755746,-0.9709418174260521,0,0,0,1644.5432705791998
1,2010-04-16,2010,4,15,FALSE,1466058.28,Non-Holiday,66.32,2.808,210.4887,7.808,1545418.53,1594968.28,1472515.79,1611968.17,1504333.13,1504172.06875,1531902.4889999998,88846.55938581564,0.9709418174260521,-0.23931566428755752,-0.46472317204376806,-0.8854560256532101,0,0,0,1643.4957696
1,2010-04-23,2010,4,16,FALSE,1391256.12,Non-Holiday,64.84,2.795,210.4391228,7.808,1466058.28,1545418.53,1404429.92,1409727.59,1502718.7525,1485933.3325,1525916.6518181816,86800.94170591522,0.93501624268541494,-0.35460488704253545,-0.663122658240795,-0.7485107481711013,0,0,0,1643.1086708224
1,2010-04-30,2010,4,17,FALSE,1425100.71,Non-Holiday,67.41,2.78,210.3895456,7.808,1391256.12,1466058.28,1594968.28,1554806.68,1499425.3025,1483624.39875,1514694.9408333332,91058.94407460977,0.8854560256532099,-0.4647231720437685,-0.8229838658936564,-0.5680647467311559,0,0,0,1642.7215720447998
1,2010-05-07,2010,5,18,FALSE,1603955.12,Non-Holiday,72.55,2.835,210.3399684,7.808,1425100.71,1391256.12,1545418.53,1439541.59,1456958.4100000001,1467411.1525,1507803.076923077,90685.60673869871,0.8229838658936566,-0.5680647467311556,-0.9350162426854147,-0.3546048870425359,0,0,0,1642.3344732671999
1,2010-05-14,2010,5,19,FALSE,1494251.5,Non-Holiday,74.78,2.854,210.3374261,7.808,1603955.12,1425100.71,1466058.28,1472515.79,1471592.5575,1487962.84375,1514671.08,90827.65208448189,0.7485107481711013,-0.663122658240795,-0.992708874098054,-0.12053668025532356,0,0,0,1642.3146229887998
1,2010-05-21,2010,5,20,FALSE,1399662.07,Non-Holiday,76.44,2.826,210.6170934,7.808,1494251.5,1603955.12,1391256.12,1404429.92,1478640.8625,1490679.8075,1513309.7746666668,87895.55746404665,0.6631226582407952,-0.7485107481711012,-0.992708874098054,0.12053668025532321,0,0,0,1644.4982652672
1,2010-05-28,2010,5,21,FALSE,1432069.95,Non-Holiday,80.44,2.759,210.8967606,7.808,1399662.07,1494251.5,1425100.71,1594968.28,1480742.35,1490083.82625,1506206.793125,89440.27286275824,0.5680647467311558,-0.8229838658936564,-0.9350162426854148,0.35460488704253557,0,0,0,1646.6819067647998
1,2010-06-04,2010,6,22,FALSE,1615524.71,Non-Holiday,80.69,2.705,211.1764278,7.808,1432069.95,1399662.07,1603955.12,1545418.53,1482484.6600000001,1469721.5350000001,1501845.8023529411,88505.88547264456,0.46472317204376906,-0.8854560256532096,-0.822983865893657,0.5680647467311548,0,0,0,1648.8655482624
1,2010-06-11,2010,6,23,FALSE,1542561.09,Non-Holiday,80.43,2.668,211.4560951,7.808,1615524.71,1432069.95,1494251.5,1466058.28,1485377.0575,1478484.8075,1508161.2972222222,89867.4689200964,0.35460488704253584,-0.9350162426854147,-0.6631226582407955,0.7485107481711009,0,0,0,1651.0491905408
1,2010-06-18,2010,6,24,FALSE,1503284.06,Non-Holiday,84.11,2.637,211.4537719,7.808,1542561.09,1615524.71,1399662.07,1391256.12,1497454.455,1488047.65875,1509971.812631579,87807.19903651513,0.23931566428755766,-0.970941817426052,-0.46472317204376834,0.88545602565321,0,0,0,1651.0310509951998
1,2010-06-25,2010,6,25,FALSE,1422711.6,Non-Holiday,84.34,2.653,211.3386526,7.808,1503284.06,1542561.09,1432069.95,1425100.71,1523359.9525000001,1502051.15125,1509637.425,85596.28192381462,0.12053668025532308,-0.992708874098054,-0.2393156642875578,0.970941817426052,0,0,0,1650.1321995008
1,2010-07-02,2010,7,26,FALSE,1492418.14,Non-Holiday,80.91,2.669,211.2235333,7.787,1422711.6,1503284.06,1615524.71,1603955.12,1521020.365,1501752.5125,1505498.1,85559.99131630902,-3.216245299353273e-16,-1,6.432490598706546e-16,1,0,0,0,1644.7976538071
1,2010-07-09,2010,7,27,FALSE,1546074.18,Non-Holiday,80.48,2.642,211.108414,7.787,1492418.14,1422711.6,1542561.09,1494251.5,1490243.7225000001,1487810.3900000001,1504903.5563636364,83637.22071096918,-0.12053668025532283,-0.992708874098054,0.23931566428755732,0.9709418174260521,0,0,0,1643.901219818
1,2010-07-16,2010,7,28,FALSE,1448938.92,Non-Holiday,83.15,2.623,211.1003854,7.787,1546074.18,1492418.14,1503284.06,1399662.07,1491121.995,1494288.225,1506693.583478261,82228.5750765043,-0.23931566428755746,-0.9709418174260521,0.46472317204376795,0.8854560256532102,0,0,0,1643.8387011098
1,2010-07-23,2010,7,29,FALSE,1385065.2,Non-Holiday,83.36,2.608,211.2351443,7.787,1448938.92,1546074.18,1422711.6,1432069.95,1477535.71,1500447.83125,1504287.139166667,81320.3553422286,-0.3546048870425356,-0.9350162426854148,0.6631226582407952,0.7485107481711011,0,0,0,1644.8880686641
1,2010-07-30,2010,7,30,FALSE,1371986.6,Non-Holiday,81.84,2.64,211.3699032,7.787,1385065.2,1448938.92,1492418.14,1615524.71,1468124.1099999999,1494572.2375,1499518.2616000003,83031.87835504208,-0.46472317204376806,-0.8854560256532101,0.8229838658936557,0.5680647467311567,0,0,0,1645.9374362184
1,2010-08-06,2010,8,31,FALSE,1605491.78,Non-Holiday,87.16,2.627,211.5046621,7.787,1371986.6,1385065.2,1546074.18,1542561.09,1438016.225,1464129.97375,1494613.197692308,85033.04659393826,-0.5680647467311556,-0.8229838658936566,0.9350162426854147,0.35460488704253607,0,0,0,1646.9868037726999
1,2010-08-13,2010,8,32,FALSE,1508237.76,Non-Holiday,87,2.692,211.6394211,7.787,1605491.78,1371986.6,1448938.92,1503284.06,1452870.625,1471996.31,1498719.811851852,86030.74790503741,-0.663122658240795,-0.7485107481711013,0.9927088740980539,0.12053668025532369,0,0,0,1648.0361721057
1,2010-08-20,2010,8,33,FALSE,1513080.49,Non-Holiday,86.65,2.664,211.6033633,7.787,1508237.76,1605491.78,1385065.2,1422711.6,1467695.335,1472615.5225,1499059.738571429,84498.9802833142,-0.7485107481711011,-0.6631226582407952,0.992708874098054,-0.12053668025532309,0,0,0,1647.7553900171001
